idx;cycle;seconds;objectiveNormal;objectiveAccelerated;L2GExp;L2GCorr;processorCount;blockSize
0;0;0;2152,7771491935414;2152,7771491935414;2295345505,5892296;0;0;0
1;0;277,1198619;80,67269738144488;81,34656862769444;274628640,5143259;6,647349915153077E+18;0;0
2;0;509,9829774;78,5343431391178;79,06852363663681;274902719,8355945;8,497771239997409E+18;0;0
3;0;732,6127273;78,15866197276324;78,62818187342069;275233617,494513;9,207634577187522E+18;0;0
4;0;931,0819389999999;77,89973492498044;78,33647841852728;275348683,49256593;9,733349335632366E+18;0;0
5;0;1133,2486781;77,72229746153819;78,14021923605847;275453063,92150646;9,867221162604945E+18;0;0
6;0;1332,6183535999999;77,61310647075777;78,01427285146944;275523795,112408;9,75461142050085E+18;0;0
7;0;1527,3825703;77,50271384946552;77,8909059896208;275547280,68491703;9,857372174833443E+18;0;0
8;0;1721,9571770999999;77,41739993092959;77,79326388899955;275559670,1581587;9,945137945611887E+18;0;0
9;0;1911,4078448;77,37777999739487;77,734963820939;275611877,0201103;9,761738663593834E+18;0;0
10;0;2104,1408773;77,32408463766484;77,66943512813266;275629475,00349313;9,57607135552108E+18;0;0
11;0;2285,076997;77,29285481096966;77,6227157268008;275653989,38651925;9,533833413347269E+18;0;0
12;0;2469,0763116;77,27436202547605;77,58722765445843;275685646,3086267;9,293588210888997E+18;0;0
13;0;2657,1412907999998;77,2632132154919;77,55868841073342;275719883,62381846;9,031384226491097E+18;0;0
14;0;2839,7552814;77,24575251474641;77,52828020897093;275733243,84578985;8,888936193904129E+18;0;0
15;0;3035,7978003999997;77,2427054351755;77,50845685566101;275762868,6164759;8,638329817899092E+18;0;0
16;1;3035,7978003999997;48,597511953279266;48,597511953279266;34372012,663099796;0;0;0
17;1;3340,5617052;30,065995650638726;30,100832472251625;10607603,382350855;1,0387606079762604E+18;0;0
18;1;3646,3427911999997;29,746367864150074;29,765415609524887;9743641,833806504;2,0071402440370191E+18;0;0
19;1;3954,4713723999994;29,652084056597907;29,66800647042413;9569271,102764133;2,5637777345373624E+18;0;0
20;1;4261,5348472999995;29,59366743859577;29,611921134677367;9521954,185681768;2,784452949339155E+18;0;0
21;1;4568,5140759999995;29,54856387145063;29,570033550085384;9499343,254609887;2,918191037169338E+18;0;0
22;1;4876,1723538999995;29,51379940536687;29,537807816782276;9482115,67680398;3,0968031246764073E+18;0;0
23;1;5195,4747668;29,48418294087117;29,510952254842902;9473702,767249405;3,211386207115433E+18;0;0
24;1;5505,6401829999995;29,458341254413256;29,48755770692379;9468479,419048818;3,3361164995179284E+18;0;0
25;1;5810,2403607999995;29,435906589397973;29,46734252828241;9465214,58129625;3,458040952271824E+18;0;0
26;1;6117,668347999999;29,415298953375167;29,449148060224022;9463323,703166548;3,5194575152621727E+18;0;0
