idx;cycle;seconds;objectiveNormal;objectiveAccelerated;L2GExp;L2GCorr;processorCount;blockSize
64;4;4957,1746466;28,131912779360132;28,13192105955636;6365456,561215602;32985727067969,6;0;0
65;4;5045,6568633;28,131492445589938;28,131511186104312;6365520,102695991;56919749310289,93;0;0
66;4;5134,2802017;28,13107821895779;28,131110844649324;6365696,786911015;100008511755983,62;0;0
67;4;5223,149235;28,130694041095275;28,130742706589892;6365814,489823735;216007712250971,56;0;0
68;4;5311,8233522;28,130293497274373;28,130362345056653;6365850,074915193;342228058965942,2;0;0
69;4;5401,1131034;28,12993181672075;28,130021343957388;6366023,65068482;595074190642903,1;0;0
70;4;5489,5460492;28,12957494418;28,129687457534374;6366081,232993632;971295815295945;0;0
71;4;5578,1508858;28,129281112077248;28,1294136883498;6366312,745360152;1422176156193079,8;0;0
72;4;5667,3765853;28,128941012057524;28,129099685343412;6366359,438177369;2156024243861246;0;0
73;4;5756,293371;28,128641476858824;28,128824348138465;6366420,009327026;2838314692041130,5;0;0
74;4;5848,1664761;28,12834637612;28,128554806199986;6366535,257637207;3832383612012375;0;0
75;4;5937,2540172;28,12807919665533;28,128311439586074;6366631,805007954;5178695708473144;0;0
76;4;6025,7879641;28,127817362162055;28,128074244193527;6366736,937572019;6142781914039338;0;0
77;4;6114,5619109;28,127577308143557;28,127857159840453;6366813,551165019;7992049300359956;0;0
