idx;cycle;seconds;objectiveNormal;objectiveAccelerated;processorCount;blockSize
0;0;0,6775502999999999;1250,99261757063;1250,990979399683;0;0
1;0;1,3287816;1251,012140377531;1251,0036458761492;0;0
2;0;1,9389877999999998;1251,0052722547714;1251,0041596083277;0;0
3;0;2,5379188999999998;1251,014625264089;1251,0084655411301;0;0
4;0;3,1185321999999998;1250,977396103625;1250,9895436786628;0;0
5;0;3,7401343;1250,9779323789242;1250,9871333087744;0;0
6;0;4,3608386999999995;1250,9661997168064;1250,9802026174582;0;0
7;0;4,9398921;1250,9089517167515;1250,956160197056;0;0
8;0;5,5240349;1250,9099063749263;1250,9473249463688;0;0
9;0;6,0952753;1250,848491376176;1250,9258072517196;0;0
10;0;6,6570469999999995;1250,8672750469948;1250,9217202494833;0;0
11;0;7,2767449;1250,7955618003969;1250,8946846568888;0;0
12;0;7,8593223;1250,831687638763;1250,8908613647764;0;0
13;0;8,4683247;1250,7161927265197;1250,8582555543892;0;0
14;0;9,051375799999999;1250,7104002461826;1250,8395668430078;0;0
15;0;9,6453024;1250,6118591723416;1250,8106606686888;0;0
16;0;10,2477462;1250,6492832494043;1250,7971201211433;0;0
17;0;10,8258719;1250,6603843088585;1250,7844045379322;0;0
18;0;11,472292999999999;1250,6210749490356;1250,7637347328973;0;0
19;0;12,1021036;1250,544258020704;1250,741475590702;0;0
20;0;12,7203991;1250,509509968439;1250,7185974343274;0;0
21;0;13,344141599999999;1250,4647225852314;1250,6946643141725;0;0
22;0;13,972430699999999;1250,5158786020604;1250,6800423377147;0;0
23;0;14,5628538;1250,4965597360697;1250,6637968844232;0;0
24;0;15,159037999999999;1250,4400633256544;1250,6435395840763;0;0
25;0;15,7465613;1250,4669085693563;1250,6306395294573;0;0
26;0;16,2699762;1250,3757623965428;1250,6070542514726;0;0
27;0;16,8400469;1250,4166374338909;1250,5931563455306;0;0
28;0;17,444970899999998;1250,2062617856666;1250,5603011762726;0;0
29;0;17,9776462;1250,2383693899333;1250,5402990200212;0;0
30;0;18,5143077;1250,191469720865;1250,5162115036687;0;0
31;0;19,0662996;1250,1361889030063;1250,4911199265225;0;0
32;0;19,609761799999998;1250,1695287923467;1250,472506699058;0;0
33;0;20,1673918;1250,0079199212648;1250,4390466324824;0;0
34;0;20,6743931;1250,0043172549601;1250,4158462536534;0;0
