idx;cycle;seconds;objectiveNormal;objectiveAccelerated;L2GExp;L2GCorr;processorCount;blockSize
64;4;17598,0890888;28,215229947371053;28,215229947371053;6322523,936000458;0;0;0
65;4;17909,5190347;28,214410899906603;28,214432241318036;6340749,919836455;20260462796643,348;0;0
66;4;18225,0998958;28,212949473419577;28,213052738639142;6341866,106147568;46555043532556,35;0;0
67;4;18541,0387948;28,211343255422385;28,211585331736813;6341829,356821981;72901061754700,62;0;0
68;4;18859,434760699998;28,21016795304051;28,210195101284558;6341817,7503361;277369976044,6856;0;0
69;4;19179,2337384;28,208804593172125;28,208832730839067;6341834,275467246;348928122836,14246;0;0
70;4;19496,974200099998;28,20752700958401;28,207554692131502;6342076,424766634;301278479789,8802;0;0
71;4;19818,1366631;28,206173731169343;28,206201796867745;6342142,134072793;161140060542,53464;0;0
72;4;20138,624851599998;28,204944146830176;28,20496915494006;6342264,453385792;151784995400,6333;0;0
73;4;20459,7971373;28,203780988436463;28,20380496313566;6342219,329888701;217166047197,81158;0;0
74;4;20796,407490899997;28,202516862677914;28,20254277761084;6342185,768381183;128222805865,35416;0;0
75;4;21118,6439225;28,201278375775786;28,2013046544746;6342231,88203596;169371177778,82608;0;0
76;4;21438,277921599998;28,20018309192722;28,200206818783798;6342529,935924072;152883318661,19864;0;0
77;4;21753,8572193;28,19908399033821;28,199108110635386;6342665,620081998;144135679198,74127;0;0
78;4;22073,9893638;28,197985233005884;28,198008895462095;6342548,708872496;112647292871,31805;0;0
79;4;22392,292403;28,196940184865532;28,196962269055938;6342606,313085025;193148944596,67648;0;0
