idx;cycle;seconds;objectiveNormal;objectiveAccelerated;L2GExp;L2GCorr;processorCount;blockSize
0;0;0;2152,7771491935414;2152,7771491935414;2295345505,5892296;0;0;0
1;0;76,3794491;86,74104606385214;86,7765089608244;275959755,4967827;2,464528577891372E+18;0;0
2;0;142,74165499999998;85,48888591131833;85,52702796725083;275963166,1301865;3,783428785393819E+18;0;0
3;0;207,0933897;85,11741325783828;85,15519536193926;275913932,07808524;4,995877660441515E+18;0;0
4;0;271,8520885;84,97147427744927;85,00758953096275;275970914,24388045;5,504850502648798E+18;0;0
5;0;338,2055156;84,83010427167167;84,86691634110201;275955055,18719035;6,210146096744023E+18;0;0
6;0;403,70579269999996;84,81878338395931;84,85285525024152;275981462,42338866;6,387267815657448E+18;0;0
7;0;469,18478419999997;84,77932046868028;84,81326260066902;275960747,73320264;6,815370409987496E+18;0;0
8;0;531,8275655;84,7832119274093;84,8151277905914;275961478,7839065;6,89326758941996E+18;0;0
9;0;596,966111;84,77768489371843;84,8087429777541;275962075,9435175;6,919327612400938E+18;0;0
10;0;660,6197321;84,77872545265686;84,80862501986502;275966071,2713931;6,943357143443816E+18;0;0
11;0;724,9973514;84,7759093632051;84,80523662887856;275964655,8715865;6,964569894890753E+18;0;0
12;0;789,2979134999999;84,77730394132608;84,80572673978557;275967258,2710704;6,975542943659018E+18;0;0
13;0;855,9662141;84,77951842398511;84,80699424125584;275968476,4547085;6,999722356050514E+18;0;0
14;0;920,4223969999999;84,7795775606838;84,80642323140205;275969264,99805695;6,9992411273165E+18;0;0
15;0;986,7121821;84,77960337619226;84,8058714553674;275969771,4258265;6,989257857864758E+18;0;0
16;1;986,7121821;56,43618777863589;56,43618777863589;40438964,3982942;0;0;0
17;1;1078,365993;29,667426997539884;29,669645504715174;10273384,286147855;3,0191581780608425E+18;0;0
18;1;1170,3371488999999;29,56464779498557;29,566836027658415;10181936,809085857;3,809668660750901E+18;0;0
19;1;1261,7158863999998;29,529132597366406;29,531414300041597;10164028,796881445;4,2331539536287027E+18;0;0
20;1;1353,7681542;29,507016470540677;29,50935797552902;10154809,698199134;4,5977787900069407E+18;0;0
21;1;1445,6801839;29,492080773758246;29,49455266362307;10150576,930311583;4,89819503990248E+18;0;0
22;1;1537,9835868;29,478542401984434;29,481271623247082;10149200,022929154;5,115060756397665E+18;0;0
