cycle;lambda;sidelobe;dataPenalty;regPenalty;currentRegPenalty;converged;iterCount;ElapsedTime
0;93,161;9,3161;789,266527923038;0;0;False;10000;66,9848778
1;55,20486;0,3267118;15,196822046418;41,766357380664;41,766357380664;False;10000;66,2977073
2;55,20486;0,3835631;7,30762166001612;28,3127168290266;28,3127168290266;True;8637;58,3856817
3;55,20486;0,1390356;5,70963394834607;29,2456437750302;29,2456437750302;True;3316;21,8456894
4;55,20486;0,1311938;5,64869700445449;29,3012802966215;29,3012802966215;True;1133;7,5711971
5;55,20486;0,130493;5,64378933892696;29,305900418353;29,305900418353;True;241;1,6171728
6;55,20486;0,1304646;5,64358465266482;29,3060843841382;29,3060843841382;True;6;0,0705894
7;55,20486;0,130438;5,64346264995159;29,3062030069274;29,3062030069274;False;0;0
