cycle;lambda;sidelobe;dataPenalty;regPenalty;currentRegPenalty;converged;iterCount;ElapsedTime
0;226,45396;22,645397;2152,452209990226;0;0;False;50000;802,8653453999999
1;150,5008;0,77164763;47,58845715539656;131,79452198097715;131,79452198097715;True;41504;655,4603847
2;150,5008;1,1211668;20,73597811461384;76,17808497182062;76,17808497182062;True;13832;219,05607859999998
3;150,5008;0,3304813;14,675448534526288;79,18670346949403;79,18670346949403;True;5035;80,0724269
4;150,5008;0,30745196;14,534725659867478;79,3138791755029;79,3138791755029;True;1487;23,603998
5;150,5008;0,30522665;14,524610126294418;79,32345651484519;79,32345651484519;True;359;5,7279319
6;150,5008;0,3051583;14,523344331066136;79,32461906777115;79,32461906777115;True;5;0,1283192
7;150,5008;0,30515066;14,523145133494898;79,32481170590853;79,32481170590853;False;0;0
