cycle;lambda;sidelobe;dataPenalty;regPenalty;currentRegPenalty;converged;iterCount;ElapsedTime
0;373,5294;37,35294;3157,06610981204;0;0;False;20000;652,9323976
1;220,8195;1,290003;60,8447178803588;165,500122593483;165,500122593483;False;20000;653,7420041
2;220,8195;1,517932;29,1388015074347;111,923238820246;111,923238820246;False;20000;649,6326408
3;220,8195;0,5426389;22,83306823694;115,557172031493;115,557172031493;True;11387;370,9482965
4;220,8195;0,5066112;22,5699076646312;115,789842419122;115,789842419122;True;6083;197,2900559
5;220,8195;0,5029799;22,5549232680327;115,801158548013;115,801158548013;True;3576;116,0208865
6;220,8195;0,5028172;22,548546854657;115,805465451425;115,805465451425;True;2170;70,8528392
7;220,8195;0,5028788;22,5489972848861;115,80453329277;115,80453329277;True;1275;41,4783006
8;220,8195;0,5028403;22,5484349677786;115,804645792914;115,804645792914;True;691;22,4767159
9;220,8195;0,5028562;22,5482322041637;115,804823530123;115,804823530123;True;155;5,1099494
