cycle;lambda;sidelobe;dataPenalty;regPenalty;currentRegPenalty;converged;iterCount;ElapsedTime
0;3597,357;359,7357;3157,06610981204;0;0;True;17504;515,2880463
1;332,2467;33,22467;108,003256814684;109,496211576901;109,496211576901;False;20000;588,9459805
2;338,0358;33,80358;52,6888257528468;109,971947597362;109,971947597362;False;20000;591,3893608
3;220,8195;12,17235;34,7897017262851;112,559491286858;112,559491286858;False;20000;594,3029193
4;220,8195;13,42513;24,9456531371946;117,057221967018;117,057221967018;False;20000;591,5420785
5;220,8195;8,563682;24,716836348293;115,970900532319;115,970900532319;False;20000;589,3090958
6;220,8195;9,477266;23,8092647314641;116,040017154108;116,040017154108;False;20000;591,8052983
7;220,8195;6,801103;23,5125336121746;116,176729446279;116,176729446279;False;20000;589,4761572
8;220,8195;7,897251;23,7480922781447;115,743319667101;115,743319667101;False;20000;592,5975965
9;220,8195;5,85351;23,2897501932933;116,280810157721;116,280810157721;False;20000;590,2523349
