cycle;lambda;sidelobe;dataPenalty;regPenalty;currentRegPenalty;converged;iterCount;ElapsedTime
0;561,1017;56,110172;2152,452209990226;0;0;True;13492;210,6271447
1;150,5008;4,1699176;51,74026385973959;63,805561472297995;63,805561472297995;True;26546;406,7886708
2;150,5008;1,0968024;15,184098892178936;78,83573198702425;78,83573198702425;True;13472;206,693525
3;150,5008;0,7791564;14,628290424921934;79,23016693970936;79,23016693970936;True;5312;82,07927509999999
4;150,5008;0,7586841;14,52804593931306;79,32079966238342;79,32079966238342;True;1942;29,765000099999998
5;150,5008;0,75647205;14,525043715124363;79,32320564442009;79,32320564442009;True;720;11,1089483
6;150,5008;0,7560994;14,523512908779288;79,32445604771303;79,32445604771303;True;131;2,0558746
7;150,5008;0,7560927;14,523090465735766;79,32487561237824;79,32487561237824;True;0;0,043959899999999996
8;150,5008;0,7560927;14,523090465735766;79,32487561237824;79,32487561237824;False;0;0
