cycle;lambda;sidelobe;dataPenalty;regPenalty;currentRegPenalty;converged;iterCount;ElapsedTime
0;220,8195;0;3157,06610981204;0;0;False;20000;902,5398352
1;220,8195;0;25,058484340443;114,310788951116;114,310788951116;False;20000;902,5659735
2;220,8195;0;22,5729847722959;115,780554735362;115,780554735362;True;12310;559,2762828
3;220,8195;0;22,5456717374454;115,806651333897;115,806651333897;True;1163;53,412518
4;220,8195;0;22,5464229137799;115,806273199798;115,806273199798;True;422;19,5799588
5;220,8195;0;22,5469808784731;115,805787514974;115,805787514974;True;41;1,9508253
6;220,8195;0;22,5472923546626;115,805504164271;115,805504164271;True;45;2,1591376
7;220,8195;0;22,5471483068389;115,805654636546;115,805654636546;True;0;0,0687049
8;220,8195;0;22,5471483068389;115,805654636546;115,805654636546;False;0;0
