u; v
-9,30631465689657;35,529046011623
23,8298694812584;-17,0122570777312
58,2680665722291;4,89205246325582
115,301355959407;-45,8510725726373
93,7151429473342;-76,0048061762936
9,82167441775164;-88,1687747547403
81,0332099468869;-195,585070743226
84,69265756409;-327,878746480215
-40,8801678601158;-163,720058679115
-96,8477907849519;-304,423001905903
-92,4917369535506;-144,708914415911
-148,530970441199;-160,738199593965
-245,366496465744;-185,716215881519
-289,043133957606;-78,0148087060079
-218,902374114481;-11,510444810614
-296,361876189734;21,8932504765689
-207,670735037325;95,3626339575276
-114,060173009166;-38,430399809964
-179,154252904566;-77,6473177084699
-105,418195739832;-92,2008486692794
287,523254825715;-120,388120818883
314,20993776467;64,6121741104871
365,108279516047;207,2089105919
343,44696274558;356,78226499306
174,492377516566;432,60550345527
91,1944318726783;224,144714090507
-48,407971437493;184,265803902876
43,1322549955985;120,075195256621
80,6691157592722;83,0172837725841
-178,954136356249;321,531963020097
-254,294685207256;301,463822072838
-468,822174957768;383,591185100842
-587,072708352007;1072,20473837573
-365,748462918258;179,558702701703
-394,343450209799;27,0475188549608
-396,624694723258;-82,8680553673767
-388,957252806074;-251,401371219661
-222,178295066733;-361,424691267777
-262,653036457898;-384,41408615699
17,7869324749699;-504,955985006411
278,497881370044;-454,8523997874
353,034196243516;-253,638104057871
621,74522052567;77,9245579144917
889,291169068518;806,296592045575
1825,39616908275;470,959450387862
1462,46762382731;1956,75159299886
569,481223481551;-310,938075024169
2802,39438047267;2889,31559880544
3598,79545581242;637,656767185312
2042,99307054581;-639,826043186244
841,05481175756;-563,46210694965
583,281577634953;-942,333009200171
-19,4812686646183;-1097,14464764623
-880,696307021044;-291,024495531339
-1209,50295955168;305,779022424947
-1605,45754216644;676,632775632665
-296,871949964338;3467,67433022382
-2808,99194252403;2898,83441088209
-3692,90511402795;972,375027823728
-3430,7037664955;-1627,41034419043
4,52395008883104;-2116,497198781
1428,46141144649;-2298,84907769831
3408,46752010474;-1638,94851100538
33,1361841381549;-52,5413030893542
67,5743812291257;-30,6369935483672
124,607670616304;-81,3801185842603
103,021457604231;-111,533852187917
19,1279890746482;-123,697820766363
90,3395246037835;-231,114116754849
93,9989722209866;-363,407792491838
-31,5738532032192;-199,249104690738
-87,5414761280554;-339,952047917526
-83,185422296654;-180,237960427534
-139,224655784303;-196,267245605588
-236,060181808847;-221,245261893142
-279,73681930071;-113,543854717631
-209,596059457584;-47,039490822237
-287,055561532838;-13,6357955350541
-198,364420380429;59,8335879459046
-104,753858352269;-73,959445821587
-169,847938247669;-113,176363720093
-96,1118810829357;-127,729894680902
296,829569482612;-155,917166830506
323,516252421567;29,0831280988641
374,414594172944;171,679864580277
352,753277402477;321,253218981437
183,798692173463;397,076457443647
100,500746529575;188,615668078884
-39,1016567805964;148,736757891253
52,4385696524951;84,5461492449977
89,9754304161688;47,4882377609611
