idx;cycle;minorCycle;seconds;objectiveNormal;objectiveAccelerated;approxMax;singleMax;restarting
0;0;0;0;2152,9853936729123;2152,9853936729123;899654543,7253587;1,1542436;False
1;0;0;0,5579289;895,2856632301881;895,3034179122202;0,008294153;2,4901237E-06;False
2;1;0;0,5579289;876,5438791754261;876,5438791754261;370311749,7872252;0,65255487;False
3;1;0;1,1370814;421,39929738068827;421,4053865275529;0,00597657;2,0010862E-05;False
4;1;0;1,6968451;421,39835048500055;421,40444049023364;2,0105625E-05;1,4295802E-07;False
5;2;0;1,6968451;414,800569441315;414,800569441315;173051819,01438025;0,39072806;False
6;2;0;2,2616752;196,10775000375298;196,11012517607912;0,006107743;4,6895468E-05;False
7;2;0;2,823265;196,1163407641731;196,11870889501213;4,755589E-05;1,7299317E-07;False
