idx;cycle;minorCycle;seconds;objectiveNormal;objectiveAccelerated;approxMax;singleMax;restarting
0;0;0;0;2152,9853936729123;2152,9853936729123;2295197638,2307816;1,4677557;False
1;0;0;23,2703001;82,80074039134523;82,80074039134523;0,24671137;0,0020425732;False
2;0;0;43,567437299999995;80,42224551322587;80,42224551322587;0,0025272004;0,0010716186;False
3;0;0;64,1125832;79,90101323351055;79,90101323351055;0,0011847147;0,00020978495;False
4;0;0;85,58775399999999;79,86765572435012;79,86765572435012;0,00019706824;2,5392044E-05;False
5;0;0;105,61013439999999;79,86773212115;79,86773212115;2,6939204E-05;5,045673E-06;False
6;0;1;105,61013439999999;79,86773212115;79,86773212115;61181387,42600415;0,05346866;False
7;0;1;135,7805752;76,26569108880247;76,26569108880247;0,0024513584;7,765344E-05;False
8;0;1;165,28088609999998;76,25775940359695;76,25775940359695;7,6495926E-05;6,9252565E-06;False
9;1;0;165,28088609999998;47,33628202946212;47,33628202946212;30514556,191599894;0,040923;False
10;1;0;195,76359579999996;32,47324159815389;32,47324159815389;0,039232075;0,0012778931;False
11;1;0;225,37926349999998;32,336797988526634;32,336797988526634;0,0009639533;0,0012842672;True
12;1;0;256,0441055;32,26480977958926;32,26480977958926;0,0012173589;0,00024030881;False
13;1;0;286,84904409999996;32,24200959409721;32,24200959409721;0,00047616925;0,00018356244;False
14;1;0;317,3613676;32,23202807127369;32,23202807127369;0,00029795803;0,00011508102;False
15;1;0;348,26464909999993;32,22669143322103;32,22669143322103;0,0002208368;8,444012E-05;False
16;1;0;379,07309239999995;32,22337360738467;32,22337360738467;0,00016632774;9,303328E-05;False
17;1;0;409,88708899999995;32,221024731859536;32,221024731859536;0,0001431451;9,7541946E-05;False
18;1;0;440,535268;32,21969475105328;32,21969475105328;0,00012543518;0,000103476945;False
19;1;0;471,5633559;32,21882656817534;32,21882656817534;9,532045E-05;9,274025E-05;False
20;1;0;502,59368299999994;32,218325171741064;32,218325171741064;7,673446E-05;9,162893E-05;False
21;1;0;533,8117708;32,21803128919139;32,21803128919139;5,3226435E-05;8,763124E-05;False
22;1;0;564,9344294;32,217782902704506;32,217782902704506;4,4370616E-05;8,830228E-05;True
23;1;0;596,0471482999999;32,21742149142727;32,21742149142727;0,00010425686;2,6675894E-05;False
24;1;0;627,265002;32,217299042856084;32,217299042856084;4,3383086E-05;1,0268064E-05;False
25;2;0;627,265002;31,37937833974241;31,37937833974241;8252732,994710519;0,0021060226;False
26;2;0;657,9818453;31,291338956553254;31,291338956553254;0,0019969493;0,00012439972;False
27;2;0;688,0068046;31,272467773218597;31,272467773218597;0,00015910271;0,00019842044;False
28;2;0;717,9906816;31,26268281811355;31,26268281811355;8,045102E-05;0,00021364698;True
29;2;0;748,5411568;31,257475112027926;31,257475112027926;0,00012666719;4,296834E-05;False
30;2;0;778,935555;31,254303916524854;31,254303916524854;4,55861E-05;3,6572696E-05;False
31;2;0;809,4418596;31,25244809808138;31,25244809808138;3,6372036E-05;3,901043E-05;False
32;2;0;840,0774418;31,25169592758897;31,25169592758897;2,517151E-05;3,7652404E-05;False
33;2;0;870,6250401;31,251348244864417;31,251348244864417;3,6139267E-05;3,5587196E-05;False
34;2;0;901,4523059999999;31,251194275052327;31,251194275052327;1,1949122E-05;3,7861908E-05;True
35;2;0;932,3430140999999;31,25107155083724;31,25107155083724;3,5962858E-05;9,876149E-06;False
36;3;0;932,3430140999999;31,32290476486564;31,32290476486564;8811950,72250139;0,00065182743;False
37;3;0;962,9986802999999;31,32048067457376;31,32048067457376;0,00061933347;1,7196287E-05;False
38;3;0;993,5352214999999;31,32040308733388;31,32040308733388;2,680422E-05;1,4426189E-05;False
39;3;0;1024,3682658999999;31,320352440940816;31,320352440940816;1,1638971E-05;1,2916191E-05;False
40;3;0;1054,8920162;31,320327741550003;31,320327741550003;1,0163407E-05;1,3106764E-05;True
41;3;0;1086,0010097999998;31,320311211507157;31,320311211507157;1,1667093E-05;4,6321256E-06;False
42;4;0;1086,0010097999998;31,31367486667705;31,31367486667705;8699326,869091695;7,5430966E-05;False
43;4;0;1117,2158964999999;31,31358326054606;31,31358326054606;7,037449E-05;3,110501E-06;False
44;5;0;1117,2158964999999;31,315255487355948;31,315255487355948;8715363,60937302;3,66295E-05;False
45;5;0;1148,4383314;31,315244648341764;31,315244648341764;3,461865E-05;2,4763497E-06;False
