cycle;lambda;sidelobe;dataPenalty;regPenalty;currentRegPenalty;converged;iterCount;ElapsedTime
0;13750,2705;137,5027;2152,7771491935414;0;0;True;9299;169,1433468
1;2421,859;24,218588;125,2410690287175;13,985145018035837;13,985145018035837;True;17161;313,8627441
2;376,1803;2,2711177;23,24763256756103;19,391845394111442;19,391845394111442;False;30000;547,9206183
3;376,1803;0,4610155;7,211289972806667;24,38440054499346;24,38440054499346;False;30000;546,230044
4;376,1803;0,24885896;7,040896360179829;24,303679153588295;24,303679153588295;True;18941;345,6561787
5;376,1803;0,23180984;6,897045401133969;24,428304740998303;24,428304740998303;True;3105;56,1421692
6;376,1803;0,22862636;6,899078720969484;24,42675182617396;24,42675182617396;True;359;6,505503699999999
7;376,1803;0,22873968;6,893917840160358;24,43165991910789;24,43165991910789;False;0;0
