idx;cycle;minorCycle;seconds;objectiveNormal;objectiveAccelerated;approxMax;singleMax;restarting
0;0;0;0;2152,9853936729123;2152,9853936729123;2160720665,8430133;1,4535798;False
1;0;0;1,3061798999999998;163,13167865985542;163,13167865985542;0,06920522;0,001450046;False
2;0;0;2,5395304;158,63445065195776;158,63445065195776;0,0014497967;6,998703E-05;False
3;0;0;3,8217087999999997;158,5919834794203;158,5919834794203;6,9975504E-05;2,0047883E-06;False
4;0;1;3,8217087999999997;158,5919834794203;158,5919834794203;147979104,48490474;0,20757806;False
5;0;1;5,3623008;76,31566584871261;76,31566584871261;0,03537934;0,00059635204;False
6;0;1;6,7092668;76,1469403562823;76,1469403562823;0,00064753543;0,00015694153;False
7;0;1;8,089455599999999;76,1193514797348;76,1193514797348;0,00017688936;3,4034238E-05;False
8;0;1;9,4425213;76,11727626398603;76,11727626398603;3,5078105E-05;5,336944E-06;False
9;1;0;9,4425213;47,20122623505076;47,20122623505076;30195095,409945127;0,040729363;False
10;1;0;11,5950858;32,489048844366934;32,489048844366934;0,04397276;0,0007698266;False
11;1;0;13,7180723;32,35671889714502;32,35671889714502;0,0009610847;0,0005406406;False
12;1;0;15,8227376;32,30776189342135;32,30776189342135;0,0005773973;0,00028632177;False
13;1;0;17,917711599999997;32,28256425108888;32,28256425108888;0,0005360507;0,00023109897;False
14;1;0;20,039732899999997;32,26929079431811;32,26929079431811;0,00038023293;0,00015979283;False
15;1;0;22,1555926;32,261879877959224;32,261879877959224;0,00033518358;0,00014308789;False
16;1;0;24,247746999999997;32,256570969552705;32,256570969552705;0,00022349856;0,00010326691;False
17;1;0;26,345686599999997;32,25259127819578;32,25259127819578;0,00020197089;0,00010950677;False
18;1;0;28,4509343;32,249668645286484;32,249668645286484;0,00018436761;9,0500005E-05;False
19;1;0;30,567303699999997;32,24770175026513;32,24770175026513;0,00012967596;7,788882E-05;False
20;1;0;32,6734402;32,245954461201954;32,245954461201954;0,00013683885;7,65251E-05;False
21;1;0;34,804984899999994;32,24470706744419;32,24470706744419;0,00012284068;5,3323543E-05;False
22;1;0;36,8774246;32,2436861821181;32,2436861821181;0,00010686808;9,329918E-05;False
23;1;0;38,9497159;32,24278286433166;32,24278286433166;0,000102356986;4,4401553E-05;False
24;1;0;41,0415117;32,242173031063345;32,242173031063345;9,034839E-05;4,6160607E-05;False
25;2;0;41,0415117;31,412266465611967;31,412266465611967;8502463,218369681;0,0034169932;False
26;2;0;43,1083275;31,31155463713335;31,31155463713335;0,0034025155;0,00015260155;False
27;2;0;45,137223;31,291873553620643;31,291873553620643;0,00015699281;0,00016390115;False
28;2;0;47,1648193;31,28065718450263;31,28065718450263;0,00011436202;0,00017599002;True
29;2;0;49,240789;31,2722864774798;31,2722864774798;0,00015050912;9,630915E-05;False
30;2;0;51,2997772;31,26709935006311;31,26709935006311;9,79764E-05;9,9800855E-05;False
31;2;0;53,3781015;31,264571694784966;31,264571694784966;5,955546E-05;0,00010951682;True
32;2;0;55,4460426;31,26363457149442;31,26363457149442;0,000109156055;3,3292174E-05;False
33;2;0;57,5209019;31,26293693435404;31,26293693435404;3,987907E-05;2,313516E-05;False
34;2;0;59,589548199999996;31,26256344186054;31,26256344186054;2,9156174E-05;2,3397391E-05;False
35;2;0;61,656572;31,262416869480596;31,262416869480596;1,7727027E-05;2,2114307E-05;False
36;2;0;63,7278064;31,262343557898063;31,262343557898063;1,330604E-05;2,3244462E-05;True
37;2;0;65,7902845;31,262318382123297;31,262318382123297;2,3168515E-05;2,875932E-06;False
38;3;0;65,7902845;31,323428575235532;31,323428575235532;8812876,280061873;0,0007295437;False
39;3;0;67,8782666;31,31914510581518;31,31914510581518;0,00068837154;2,31457E-05;False
40;3;0;69,963223;31,318909010264136;31,318909010264136;4,560023E-05;1,9770658E-05;False
41;3;0;72,0518748;31,31880127018043;31,31880127018043;2,4403158E-05;1,9536572E-05;False
42;3;0;74,1473848;31,318761697312954;31,318761697312954;2,110589E-05;2,0336343E-05;False
43;3;0;76,2374573;31,3187426270719;31,3187426270719;1,2089262E-05;1,9471277E-05;False
44;3;0;78,3394062;31,318728600392273;31,318728600392273;9,522562E-06;1,9342677E-05;False
45;3;0;80,4408573;31,318720138655834;31,318720138655834;8,215546E-06;1,9977722E-05;True
46;3;0;82,5131552;31,318704748003356;31,318704748003356;1,6532469E-05;2,3081225E-06;False
47;4;0;82,5131552;31,313654632145916;31,313654632145916;8695125,819591792;0,00013362538;False
48;4;0;84,5792062;31,313395469652853;31,313395469652853;0,00012564898;9,420328E-06;False
49;5;0;84,5792062;31,315262083092318;31,315262083092318;8716615,553934027;4,4389428E-05;False
50;5;0;86,6677592;31,315223447261126;31,315223447261126;3,828458E-05;6,6971097E-06;False
