cycle;lambda;sidelobe;dataPenalty;regPenalty;currentRegPenalty;converged;iterCount;ElapsedTime
0;2484,077;248,4077;3157,06610981204;0;0;True;12182;363,433725
1;261,3654;26,13654;107,762670661412;87,596474096179;63,3240057091607;False;20000;595,8271035
2;159,6317;5,617969;29,4628707583324;111,670561516777;80,7273048459306;False;20000;598,1388683
3;159,6317;4,282726;24,4510448215183;114,474772375766;82,7544854101557;True;14919;446,1463095
4;159,6317;3,627282;24,7805238112362;114,169738587307;82,5339747277231;True;9865;294,1244687
5;159,6317;3,655188;24,6736043073296;114,267791174782;82,6048574685449;True;9132;272,1160821
6;159,6317;3,534398;24,8091344794062;114,258879665406;82,5984152799298;True;8434;251,3014562
7;159,6317;3,559568;24,9441794864792;114,289585619976;82,620612754769;True;8092;242,2379268
8;159,6317;3,55003;25,145484149002;114,323722769967;82,6452906965266;True;8395;252,4543149
9;159,6317;3,566867;25,3826433429346;114,377163060138;82,6839229588623;True;8549;254,6027428
10;159,6317;3,576936;25,6650058623396;114,441329315164;82,7303092091521;True;8199;246,4383166
11;159,6317;3,592462;25,9811491953492;114,516728878877;82,7848160434774;True;8447;252,7920759
12;159,6317;3,605748;26,3253967983142;114,600525501072;82,8453930817552;True;8318;248,4624508
13;159,6317;3,617758;26,6873475818078;114,691301466899;82,9110156379675;True;8219;245,2069741
14;159,6317;3,627835;27,0643922631957;114,787526883192;82,9805774682527;True;8126;243,2832521
15;159,6317;3,639753;27,451542735477;114,889750300775;83,0544754572352;True;7984;238,6138281
