cycle;lambda;sidelobe;dataPenalty;regPenalty;currentRegPenalty;converged;iterCount;ElapsedTime
0;2252,01;225,201;3157,06610981204;0;0;True;11956;303,5497329
1;284,0538;28,40538;138,973481894307;101,362436872048;43,3540478831055;True;15293;389,0207159
2;690,661;69,0661;447,175881482148;66,8854194529085;28,6077739514449;True;14292;359,4251124
3;283,8335;28,38335;110,032020442447;104,641914246258;44,7567235703546;True;17364;441,3229384
4;697,5352;69,75352;449,371613063353;66,6711922424424;28,5161461465854;True;13184;335,3772376
5;283,8419;28,38419;108,027938515546;104,732969776091;44,795669228407;True;16356;414,7783
6;697,0901;69,70901;445,962201237111;66,8820441977477;28,606330338208;True;13219;335,8980845
7;283,8403;28,38404;106,79898818532;104,582147501849;44,7311605258374;True;15667;396,4411828
8;691,3198;69,13198;438,641905906072;67,2614796288826;28,7686198763195;True;13228;335,2541062
9;283,8351;28,38351;105,972485828228;104,480543241694;44,6877030874757;True;15235;386,8133723
10;686,1201;68,61201;432,499711431282;67,5850204577109;28,9070025018464;True;13064;331,8123045
11;283,8304;28,38304;105,415234456533;104,412171644686;44,6584596630064;True;14778;375,9647646
12;682,1912;68,21912;427,983495992358;67,8240759190645;29,0092496841993;True;13064;333,2360874
13;283,827;28,3827;105,032137705841;104,364973772786;44,6382724868972;True;14546;368,7744408
14;679,455;67,9455;424,886435999636;67,9871018437175;29,0789780448292;True;13008;329,3494741
15;283,8248;28,38248;104,773934856578;104,333509653025;44,6248148813256;True;14482;367,6892039
